AMC,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,Fund Manager,AUM,Category,Risk
5,2,2,2.7,25.31,22.28,15.38,1000,14,13994,2,11
5,0,4,4.05,36.76,55.3,24.3,1000,14,183457,1,7
5,0,1,0.5,13.13,6.91,4.93,1000,14,3568,2,2
5,0,0,2.19,11.02,0.0,0.0,1000,14,35141,2,0
5,0,0,0.0,10.04,0.0,0.0,1000,14,56317,1,11
5,4,5,1.0,33.31,12.21,13.23,1000,14,658,2,8
5,5,5,3.46,39.51,42.48,19.76,1000,14,97812,2,1
5,4,0,1.04,34.37,12.66,13.48,10000,14,658,2,8
5,5,0,1.98,186.22,44.59,19.5,500,14,148726,1,7
5,5,5,1.96,172.53,44.23,19.18,500,14,148726,1,7
5,3,3,0.28,11.61,6.0,39.07,5000,14,1150,0,8
32,4,4,2.34,66.75,16.32,10.01,500,15,164072,2,8
32,3,0,0.53,3682.46,6.79,5.45,500,15,2329082,0,6
32,4,4,0.57,4055.46,7.32,6.0,500,15,2329082,0,6
32,3,5,1.12,69.19,8.12,10.4,500,15,30707,0,6
22,3,5,6.88,217.11,45.54,24.47,100,16,170054,1,1
22,3,3,6.3,1474.68,46.62,21.52,100,16,537502,1,1
29,4,3,7.3,39.93,21.9,14.84,100,17,23024,1,11
29,3,3,3.83,515.8,33.68,16.15,100,17,247214,1,7
14,0,0,0.0,10.59,0.0,0.0,500,18,74406,1,11
14,3,2,3.18,53.23,26.53,12.84,500,18,86559,2,11
18,0,0,10.39,9.11,11.88,0.0,500,19,2064,3,11
32,3,3,6.0,173.27,45.66,20.32,500,20,1054309,1,1
32,2,2,5.35,174.09,23.3,14.05,500,20,115006,1,11
32,3,0,4.23,186.2,49.94,20.01,500,20,44604,1,5
17,0,3,7.16,106.6,36.14,16.64,1000,21,110879,1,7
17,2,2,6.0,157.64,36.59,17.07,1000,21,119226,1,7
14,4,4,6.12,70.78,39.91,17.3,100,22,123812,1,7
14,4,4,4.54,68.22,66.96,31.7,500,22,165996,1,11
14,0,0,5.64,25.84,25.7,14.21,500,22,235,3,11
14,3,3,2.84,16.67,22.28,10.05,500,22,26446,2,8
14,0,0,7.3,7.85,11.81,9.03,500,22,28574,3,11
14,3,2,7.09,131.51,43.43,17.26,500,22,299074,1,7
14,0,0,4.39,16.82,11.65,8.19,500,22,3838,3,11
14,3,0,9.44,138.62,49.54,20.67,500,22,386496,1,1
14,0,0,3.32,15.23,27.73,0.0,500,22,4007,3,11
14,2,3,6.24,22.65,39.21,16.31,500,22,52202,2,7
32,3,5,0.54,3341.45,6.76,5.64,500,23,309695,0,2
29,3,0,0.0,13.18,0.0,0.0,150,24,20753,0,4
29,0,0,0.61,11.48,7.6,0.0,500,24,111081,3,4
29,0,0,0.67,11.23,7.82,0.0,500,24,1179,3,4
29,0,0,0.94,11.39,8.78,0.0,500,24,17786,3,6
29,5,3,0.57,3892.45,7.3,5.95,500,24,1985261,0,4
29,4,4,0.59,4443.64,7.61,6.21,500,24,2762833,0,4
29,0,3,0.53,1293.58,6.7,5.58,500,24,494157,0,2
29,0,0,0.71,11.6,8.11,0.0,500,24,86654,3,4
22,0,0,0.64,25.48,7.24,5.92,0,25,286,0,2
22,0,0,0.62,34.25,7.07,5.8,5000,25,286,0,2
9,0,0,6.91,15.59,0.0,0.0,100,26,239622,1,11
9,0,0,8.33,12.13,0.0,0.0,100,26,63405,1,11
11,3,4,7.1,16.0,22.96,14.73,100,27,361822,1,11
10,0,4,5.6,1676.01,41.26,22.05,500,28,178428,1,7
10,0,0,8.0,559.01,50.56,17.24,500,28,189247,1,1
10,3,4,3.47,268.8,29.71,15.18,500,28,202967,2,11
10,4,3,1.65,86.57,14.49,8.5,500,28,20655,2,8
10,0,3,1.65,86.57,14.49,8.5,500,28,20655,2,8
10,4,4,3.65,759.29,40.79,25.86,500,28,227896,1,11
10,3,0,2.2,148.07,49.28,24.38,500,28,256112,1,1
10,2,2,1.34,15.74,11.72,7.85,500,28,6713,2,4
10,3,4,5.7,1521.92,42.29,22.31,500,28,714311,1,7
10,2,2,5.45,1039.86,33.49,14.18,500,28,82346,1,11
11,4,4,0.75,29.97,8.01,5.83,100,29,141052,0,6
11,4,4,0.57,14.29,7.27,5.85,100,29,1454331,0,4
11,4,3,0.56,29.06,7.74,5.95,100,29,1581935,2,2
11,3,3,1.21,52.35,9.15,5.5,100,29,264504,0,6
11,0,4,3.25,17.15,24.01,15.56,100,29,324396,3,0
11,5,3,3.04,68.22,23.8,13.31,100,29,352455,2,0
11,1,5,3.09,39.87,21.86,15.25,100,29,4854,3,0
11,4,3,1.8,64.28,17.19,10.82,100,29,505175,2,8
11,4,4,0.72,21.56,7.55,5.52,100,29,591926,0,6
11,3,3,1.17,85.12,9.04,5.21,100,29,74788,0,6
11,0,3,1.17,85.12,9.04,5.21,100,29,74788,0,6
11,0,3,1.17,85.12,9.04,5.21,100,29,74788,0,6
11,5,5,1.87,510.83,33.79,23.75,100,29,9539146,2,7
11,3,2,0.53,3626.68,6.68,5.56,100,29,95779,0,2
11,3,0,0.55,28.19,7.62,5.72,5000,29,1581935,2,2
8,0,0,0.0,10.09,0.0,0.0,100,30,0,3,11
8,0,0,8.32,22.85,29.35,9.7,100,30,112141,1,11
8,0,0,9.68,13.53,0.0,0.0,100,30,15202,3,11
8,0,4,5.79,26.14,37.6,19.38,100,30,178749,3,3
8,0,0,5.32,15.49,35.83,0.0,100,30,30345,3,11
8,0,0,3.73,11.74,0.0,0.0,100,30,3544,3,0
8,0,0,4.14,10.59,0.0,0.0,100,30,4024,3,11
8,0,3,5.05,24.28,27.18,14.27,100,30,63065,3,11
8,0,4,5.34,29.09,64.99,20.95,100,30,77791,3,3
1,0,0,6.06,34.13,49.43,18.56,100,31,119084,1,11
1,0,0,4.5,15.59,34.22,0.0,100,31,187998,1,11
1,0,2,7.1,1804.24,36.75,15.92,100,31,2322833,1,7
1,2,2,7.74,825.5,45.57,21.98,100,31,614892,1,1
1,0,0,7.53,25.0,42.37,17.28,100,31,80458,1,1
23,1,1,7.58,16.74,37.55,16.8,1000,32,157803,1,12
23,0,2,6.67,36.8,29.4,11.51,1000,32,656198,1,11
13,0,0,4.95,18.45,54.65,0.0,100,33,62128,1,11
22,0,4,0.51,25.21,7.55,5.9,100,34,158274,2,2
22,4,4,0.59,3905.17,7.6,6.28,100,34,1758183,0,4
22,5,3,0.57,6033.3,7.31,5.96,100,34,3255232,0,6
22,4,3,0.56,3523.72,7.05,5.64,100,34,626157,0,4
22,4,3,0.72,42.24,7.73,5.79,100,34,770805,0,6
22,0,4,0.54,131.71,6.72,5.62,100,34,849893,0,2
22,0,0,4.17,18.86,16.26,0.69,1000,34,27105,1,11
22,0,0,4.89,31.79,22.55,7.64,1000,34,68211,1,11
22,4,0,0.54,3350.61,6.88,5.51,500,34,626157,0,4
22,0,0,0.46,32.45,6.69,5.69,5000,34,275,0,2
22,0,0,0.46,31.9,5.95,5.45,5000,34,319,0,2
22,0,0,0.46,31.69,6.0,5.24,5000,34,365,0,2
22,0,0,0.47,32.83,6.64,5.99,5000,34,366,0,2
22,4,0,0.52,5369.18,6.72,5.33,5000,34,3255232,0,6
22,0,0,0.56,34.21,7.33,6.15,5000,34,4837,0,6
32,2,2,6.12,324.15,41.91,20.3,500,35,1264634,1,1
